Group tours search,Local,wordpress,class,,Group tours filters by country + class local,Group tours filters by country + class wp,
South Africa/CapeTownAirport/Standard,CPTPKTHISSASDCGST,CPTPKTHISSASDCGST,,CPTPKTVT001CTCLPW,CPTPKTVT001CTCLPW,,
South Africa/CapeTownAirport/Standard,CPTPKTVT001CTCLHO,CPTPKTVT001CTCLHO,,CPTPKTVT001CTCLRB,CPTPKTVT001CTCLRB,,
South Africa/CapeTownAirport/Standard,CPTPKTVT001CTERHO,CPTPKTVT001CTERHO,,CPTPKTVT001CTCLSS,CPTPKTVT001CTCLSS,,
South Africa/CapeTownAirport/Standard,CPTPKTVT001CTERPW,CPTPKTVT001CTERPW,,CPTPKTVT001CTCLTB,CPTPKTVT001CTCLTB,,
South Africa/CapeTownAirport/Standard,CPTPKTVT001CTEXHO,CPTPKTVT001CTEXHO,,CPTPKTVT001CTCLVA,CPTPKTVT001CTCLVA,,
,,,,,,,
South Africa/CapeTownAirport/Luxury,CPTPKTHISSASCENLX,CPTPKTHISSASCENLX,,CPTPKTVT001CTCLVL,CPTPKTVT001CTCLVL,,
South Africa/CapeTownAirport/Luxury,CPTPKTHISSASDCGLX,CPTPKTHISSASDCGLX,,CPTPKTVT001CTERHO,CPTPKTVT001CTERHO,,
South Africa/CapeTownAirport/Luxury,CPTPKTVT001CTCLTB,CPTPKTVT001CTCLTB,,CPTPKTVT001CTERPW,CPTPKTVT001CTERPW,,
South Africa/CapeTownAirport/Luxury,CPTPKTVT001CTCLVA,CPTPKTVT001CTCLVA,,CPTPKTVT001CTERRB,CPTPKTVT001CTERRB,,
South Africa/CapeTownAirport/Luxury,CPTPKTVT001CTERTB,CPTPKTVT001CTERTB,,CPTPKTVT001CTERSS,CPTPKTVT001CTERSS,,
South Africa/CapeTownAirport/Luxury,CPTPKTVT001CTERVC,CPTPKTVT001CTERVC,,CPTPKTVT001CTERTB,CPTPKTVT001CTERTB,,
South Africa/CapeTownAirport/Luxury,CPTPKTVT001CTEXTB,CPTPKTVT001CTEXTB,,CPTPKTVT001CTERVC,CPTPKTVT001CTERVC,,
South Africa/CapeTownAirport/Luxury,CPTPKTVT001CTEXVA,CPTPKTVT001CTEXVA,,CPTPKTVT001CTERVL,CPTPKTVT001CTERVL,,
,,,,,,,
South Africa/Hoedspruit Airport,CPTPKTVT001CTEXHO,CPTPKTVT001CTEXHO,,CPTPKTVT001CTEXHO,CPTPKTVT001CTEXHO,,
,CPTPKTHISSASCENLX,CPTPKTHISSASCENLX,,CPTPKTVT001CTEXPW,CPTPKTVT001CTEXPW,,
,CPTPKTHISSASDCGLX,CPTPKTHISSASDCGLX,,CPTPKTVT001CTEXRB,CPTPKTVT001CTEXRB,,
